DOCX | GOLD_CASE_001/visible/documents/01_起诉书.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 4
  fmt | 答：不知道。我只知道何某欠我钱，到期以后我催 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你与朱某是否存在交易、借贷或投资关系？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有，我不认识朱某。 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某向你支付过620,000元吗？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：支付过。何某之前欠我62万元，是以前做生 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：该债务是什么时候形成的？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：主要在2024年形成，最晚到2025年1 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某是否说还款资金来自投资人朱某？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有。我不认识朱某，也不知道何某具体用什 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：2025年你所在单位是否存在面向个人投资 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有。公司2025年的融资事项均由公司和 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某是否获得公司授权对外募集资金或承诺本 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有。经公司内部核查，没有给何某出具过授 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：公安机关向你出示的项目介绍和收益测算是否 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：其中有些公司简介、行业数据可能来源于公开 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：林某是否为公司项目财务人员？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：经公司人员信息核查，没有林某这个人在公司 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否认识何某？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：以前在行业活动上可能见过或有过一般联系， | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_001/visible/documents/04_被告人供述与辩解.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 51
  fmt | 北京市公安局某分局 | 黑体 | 22.0 | None | None
  fmt | 被告人供述与辩解 | 黑体 | 22.0 | None | None
  fmt | 被告人：何某｜三次讯问摘录 | 仿宋 | 16.0 | None | None
  fmt | 问：你是否以“云岭新材股权增值项目”的名义向 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我确实和朱某谈过这个项目，也收过她的钱， | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否取得项目方正式授权或内部投资份额？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有正式盖章授权。有人跟我说过有机会，我 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：朱某一共向你支付多少钱？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：具体我记不清，大概六百多万元打到我自己的 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：为什么使用林某账户收款？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我自己账户当时收付款比较多，怕风控，所以 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否承诺本金安全、固定收益？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我说过本金风险比较低，也说过预计收益，但 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你把朱某的钱用于什么？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：一部分做了证券投资，一部分做资金周转，也 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否向朱某返还过资金？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：返过，一百多万元，有收益也有退本金。我一 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：公安机关已调取朱某、你本人及林某账户流水 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我看了流水，这个总数我认可。之前我说六百 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：其中转入林某账户的1,250,000元是 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：是我指定的。三笔大概是35万、55万、3 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否向朱某说明林某不是项目方财务人员？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我没有专门说。我可能说过是“项目这边收款 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你名下证券账户共收到来自你银行账户的1, | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：不是直接投云岭新材，是买了股票、基金之类 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你为何此前向朱某强调这不是普通股票投资， | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：因为我当时认为后续项目机会能落地，想让她 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否使用相关资金偿还旧债？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：有。王某两笔一共105万元，刘某一共62 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：这些债务形成于朱某投资之前还是之后？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：大部分都是之前形成的。王某、刘某的肯定在 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否还用于购车、信用卡、装修、消费、取 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：有这些情况。我的资金都在几个账户里混着用 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否告诉朱某她的钱会被你用于偿还既有债 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有明确告诉。我当时认为只是临时周转，我 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你向朱某发送的项目介绍和收益测算是谁制作 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：主要是我自己整理的。我参考了网上公开的行 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：材料中出现“内部额度”“本金保障”“退出 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有项目方正式书面文件。我当时是根据我自 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否实际拥有云岭新材项目股权认购资格？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有最终签下来的认购资格，也没有签正式协 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：在没有正式资格的情况下，为什么持续要求朱 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：当时我资金压力也比较大，同时我认为如果能 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：所谓“一期收益”“项目分红”是否来自云岭 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：不是那个项目直接产生的收益。那些钱是我从 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：林某账户向朱某转出的90,000元是谁安 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：是我让林某转的。 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否认可累计向朱某返还1,326,00 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：按银行流水我认可。 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否承认自己向朱某陈述的项目状态与真实 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：现在看存在差异。我当时没有真实的项目合同 | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_001/visible/documents/05_被害人陈述.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 31
  fmt | 北京市公安局某分局 | 黑体 | 22.0 | None | None
  fmt | 被害人陈述笔录 | 黑体 | 22.0 | None | None
  fmt | 被害人：朱某 | 仿宋 | 16.0 | None | None
  fmt | 问：你与何某如何认识？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我大约在2024年下半年通过朋友聚会认识 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某第一次向你提出投资是什么时候？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：2025年2月底到3月初。何某跟我说他手 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：他有没有向你承诺本金和收益？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：有。他不止一次说“本金不会有问题”“最差 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你为什么相信他？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：一是他给我发过项目介绍、估值表、收益测算 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：请说明你向何某交付款项的情况。 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：从2025年3月12日开始，到12月23 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：为什么会向林某账户转账？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我以前根本不认识林某。第一次何某把林某的 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否授权何某把你的钱用于偿还他个人债务 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有。我从来没有同意他把钱拿去还自己的债 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否知道何某把部分钱转入证券账户？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：案发前我不知道。公安机关后来让我看流水， | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某向你返还过多少钱？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：返还过。我记得有七笔。前几笔他跟我说是收 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你当时如何理解这些返款？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：前面的120,000元、160,000元 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你从什么时候开始怀疑？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：2025年12月以后。我投入已经很多了， | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否直接联系过所谓项目方？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我通过公开信息和朋友打听过，没有人能确认 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某是否曾告诉你资金可能被临时用于他的个 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：没有。他现在如果说我知道他可以拿去周转， | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你报案时要求如何处理？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我希望查清楚我转出去的钱到底去了哪里，何 | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/01_起诉书.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 起 诉 书 | 黑体 | 22.0 | None | None
  fmt | （完全虚构测试材料，仅供系统测试） | 仿宋 | 16.0 | None | None
  fmt | 经依法审查查明 | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/03_刘某陈述.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 被害人刘某陈述 | 黑体 | 22.0 | None | None
  fmt | 询问笔录节选（完全虚构测试材料） | 仿宋 | 16.0 | None | None
  fmt | 我在2025年3月经朋友介绍认识陈某。陈某说 | 仿宋 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/04_周某陈述.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 被害人周某陈述 | 黑体 | 22.0 | None | None
  fmt | 询问笔录节选（完全虚构测试材料） | 仿宋 | 16.0 | None | None
  fmt | 2025年4月，陈某向我介绍“星岚储能一期项 | 仿宋 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/05_郑某陈述.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 被害人郑某陈述 | 黑体 | 22.0 | None | None
  fmt | 询问笔录节选（完全虚构测试材料） | 仿宋 | 16.0 | None | None
  fmt | 我于2025年6月听陈某介绍“星岚储能一期项 | 仿宋 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/06_证人证言.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 证人证言汇编 | 黑体 | 22.0 | None | None
  fmt | 完全虚构测试材料 | 仿宋 | 16.0 | None | None
  fmt | 证人：孙某 | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/07_被告人供述与辩解.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 被告人陈某供述与辩解 | 黑体 | 22.0 | None | None
  fmt | 三次讯问笔录节选（完全虚构测试材料） | 仿宋 | 16.0 | None | None
  fmt | 第一次讯问 | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_002/visible/documents/08_聊天记录摘录.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 聊天记录摘录 | 黑体 | 22.0 | None | None
  fmt | 电子数据文字转写（完全虚构测试材料） | 仿宋 | 16.0 | None | None
  fmt | 2025-03-18 19:42 陈某→刘某 | 黑体 | 14.0 | 24.0 | 0
DOCX | GOLD_CASE_002/visible/documents/09_项目资料.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 3
  fmt | 星岚储能一期项目资料摘录 | 黑体 | 22.0 | None | None
  fmt | 完全虚构测试材料 | 仿宋 | 16.0 | None | None
  fmt | 项目确有前期技术验证、设备采购和合作方对接活 | 仿宋 | 16.0 | 28.0 | 200
XLSX | GOLD_CASE_001/visible/bank/02_银行流水账单.xlsx | OK | sheets_same=True | values_same=True | merges_same=True
XLSX | GOLD_CASE_002/visible/bank/02_银行流水账单.xlsx | OK | sheets_same=True | values_same=True | merges_same=True
